Title,Artist
Unchained Melody,The Righteous Brothers
Can You Feel the Love Tonight,Elton John
A Whole New World,Alan Menken
Your Song,Elton John
Tennessee,Hans Zimmer
Main Theme from Out of Africa,John Barry
Love Theme for Nata,Ennio Morricone
Por Una Cabeza,Carlos Gardel
La Vie En Rose,Edith Piaf
Can't Help Falling in Love,Elvis Presley
All You Need Is Love,The Beatles
A Thousand Years,Christina Perri
Shallow,Lady Gaga & Bradley Cooper
My Heart Will Go On,Celine Dion
I'll Always Love You,Whitney Houston
